running_id,participant_id,code,payoff,tr,PQ1,PQ2,PQ3,PQ4,PQ6,PQ7,PQ8,PQ9,PQ10,IMC,age,gender,education,work_status,comp_skill,forecasting_skill,similar_exp,time_inst,time_total,tinst_ttot,a,b,running_id,page,round,test_round,AI_forecast,human_forecast,selected_forecast,select_human,selected_quant,guidance_followed,pos_dir,large_mag,sort,sort_num,demand,adjustment,value,min_devtomean,dev_to_mean,h_AI_samedev,closer_to_mean,h_closer_tomean,adj_vs_mean,adj_vs_AI,earlier_rounds,later_rounds,directly_after_feedback
48,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,48,5,40,0,13,24,AI,0,13,1,1,1,D<AI<H,1,20,11,1,3,3,0,1,0,1.1,0.846153846,0,0,0
49,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,49,6,41,0,17,9,Human,1,9,1,0,1,H<D<AI,8,10,-8,1,1,1,0,1,1,0.8,0.470588235,0,1,1
50,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,50,6,42,0,9,12,AI,0,9,1,1,0,AI<D<H,3,10,3,0,1,1,0,1,0,0.3,0.333333333,0,1,0
51,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,51,6,43,0,3,6,Human,1,6,0,1,0,AI<H<D,10,10,3,1,4,4,0,1,1,0.3,1,0,1,0
52,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,52,6,44,0,7,14,AI,0,7,1,1,1,AI<D<H,3,10,7,0,3,3,0,1,0,0.7,1,0,1,0
53,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,53,6,45,0,20,14,Human,1,14,1,0,1,D<H<AI,2,22,-6,0,4,4,0,1,1,0.6,0.3,0,1,0
54,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,54,6,46,0,10,6,Human,1,6,1,0,0,H<D=AI,6,11,-4,0,0,4,0,0,0,0.4,0.4,0,1,0
55,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,55,6,47,0,6,12,AI,0,6,1,1,1,AI<D<H,3,7,6,0,2,4,0,0,1,0.6,1,0,1,0
56,1,ha284elv,2.54,60,0,0,0,-1,-1,-2,0,1,0,I read the instructions,44,Male,Bachelor,"Working (part-time, full-time, self-employed)",1,4,Not at all,6.616666667,16.56666667,0.399396378,27,21,56,6,48,0,12,4,AI,0,12,0,0,1,H<D<AI,8,1,-8,1,2,2,0,1,0,0.8,0.666666667,0,1,0
57,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,57,0,a,1,11,17,AI,0,11,1,1,1,D<AI<H,1,10,6,0,1,1,0,1,0,0.6,0.545454545,0,0,0
58,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,58,0,b,1,15,12,Human,1,12,1,0,0,D<H<AI,2,7,-3,1,2,2,0,1,1,0.3,0.2,0,0,0
59,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,59,0,c,1,9,11,AI,0,9,1,1,0,AI<D<H,3,12,2,1,1,1,1,0,0,0.2,0.222222222,0,0,0
60,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,60,0,d,1,17,11,Human,1,11,1,0,1,D<H<AI,2,15,-6,0,1,1,0,1,1,0.6,0.352941176,0,0,0
61,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,61,0,e,1,10,13,AI,0,10,1,1,0,D=AI<H,4,7,3,0,0,0,0,1,0,0.3,0.3,0,0,0
62,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,62,0,f,1,17,10,Human,1,10,1,0,1,D=H<AI,5,11,-7,1,0,0,0,1,1,0.7,0.411764706,0,0,0
63,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,63,0,g,1,12,18,AI,0,12,1,1,1,D<AI<H,1,16,6,1,2,2,0,1,0,0.6,0.5,0,0,0
64,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,64,0,h,1,10,9,Human,1,9,1,0,0,H<D=AI,6,15,-1,0,0,1,0,0,0,0.1,0.1,0,0,0
65,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,65,1,1,0,8,4,AI,0,8,0,0,0,H<AI<D,7,5,-4,1,2,2,0,1,0,0.4,0.5,1,0,1
66,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,66,1,2,0,15,9,Human,1,9,1,0,1,H<D<AI,8,11,-6,1,1,1,0,1,1,0.6,0.4,1,0,0
67,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,67,1,3,0,7,10,Human,1,10,0,1,0,AI<D=H,9,8,3,0,0,0,0,1,1,0.3,0.428571429,1,0,0
68,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,68,1,4,0,14,24,AI,0,14,1,1,1,D<AI<H,1,15,10,0,4,4,0,1,0,1,0.714285714,1,0,0
69,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,69,1,5,0,7,4,AI,0,7,0,0,0,H<AI<D,7,6,-3,0,3,3,0,1,0,0.3,0.428571429,1,0,0
70,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,70,1,6,0,13,19,AI,0,13,1,1,1,D<AI<H,1,5,6,0,3,3,0,1,0,0.6,0.461538462,1,0,0
71,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,71,1,7,0,6,14,AI,0,6,1,1,1,AI<D<H,3,17,8,1,4,4,1,0,0,0.8,1.333333333,1,0,0
72,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,72,1,8,0,26,17,Human,1,17,1,0,1,D<H<AI,2,10,-9,1,7,7,0,1,1,0.9,0.346153846,1,0,0
73,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,73,2,9,0,12,8,Human,1,8,1,0,0,H<D<AI,8,17,-4,0,2,2,1,0,0,0.4,0.333333333,0,0,1
74,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,74,2,10,0,18,26,AI,0,18,1,1,1,D<AI<H,1,10,8,0,8,8,0,1,0,0.8,0.444444444,0,0,0
75,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,75,2,11,0,17,14,Human,1,14,1,0,0,D<H<AI,2,10,-3,1,4,4,0,1,1,0.3,0.176470588,0,0,0
76,2,8mrzogoj,2.3,70,1,-1,0,0,1,0,0,0,0,I read the instructions,49,Male,High school,"Working (part-time, full-time, self-employed)",1,4,Not at all,8.066666667,17.08333333,0.472195122,20,28,76,2,12,0,10,8,AI,0,10,0,0,0,H<D=AI,6,4,-2,1,0,0,0,1,0,0.2,0.2,0,0,0
